Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-08 10:13:35.773723+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:35.774061+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 01 00
2026-04-08 10:13:35.824929+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:35.825365+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 22 00
2026-04-08 10:13:35.866520+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:35.870734+0200 0x133abde  Default     0x793fc3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b a0 00 00 03 08 00 00 10 00 01 00
2026-04-08 10:13:35.885727+0200 0x133abde  Default     0x793fc3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 10:13:35.934413+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b a0 00 00 03 08 00 00 10 00 01 00
2026-04-08 10:13:35.941835+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 10:13:35.942084+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 02 00
2026-04-08 10:13:36.013578+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 53 3b 30 19 d4 e7 39 da 73 9c ed 39 ce 73 9d 83 68 58 21 08 42 10 84 36 cf 08 d1 43 eb 34 10 c2 c5 67 da fd 79 a7 da a3 3c 98 d4 93 a2 5d 87 35 08 32 30 33 36 30 34 30 31 3e 00 fe 00 90 00
2026-04-08 10:13:36.014677+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0c 00
2026-04-08 10:13:36.058208+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:36.060001+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 05 00
2026-04-08 10:13:36.111405+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:36.111929+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 01 00
2026-04-08 10:13:36.174821+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:36.175278+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0a 00
2026-04-08 10:13:36.226784+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:36.227196+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0b 00
2026-04-08 10:13:36.276608+0200 0x133abde  Default     0x797663             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:37.572274+0200 0x133abde  Default     0x7976f3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 10:13:37.619378+0200 0x133abde  Default     0x7976f3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 7e 12 4f 0b a0 00 00 03 08 00 00 10 00 01 00 5f 2f 02 58 00 90 00
2026-04-08 10:13:37.620190+0200 0x133abde  Default     0x7976f3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
2026-04-08 10:13:37.671675+0200 0x133abde  Default     0x7976f3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 53 3b 30 19 d4 e7 39 da 73 9c ed 39 ce 73 9d 83 68 58 21 08 42 10 84 36 cf 08 d1 43 eb 34 10 c2 c5 67 da fd 79 a7 da a3 3c 98 d4 93 a2 5d 87 35 08 32 30 33 36 30 34 30 31 3e 00 fe 00 90 00
2026-04-08 10:13:37.673315+0200 0x133abde  Default     0x7976f3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
