Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 20:30:20.332181+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 53 82 01 2a 70 82 01 21 30 82 01 1d 30 81 c4 a0 03 02 01 02 02 14 04 85 ca 71 0a 03 54 e6 85 9a 20 f9 ec 70 ee 91 92 5e 5e 4e 30 0a 06 08 2a 86 48 ce 3d 04 03 02 30 0f 31 0d 30 0b 06 03 55 04 03 0c 04 54 65 73 74 30 1e 17 0d 32 36 30 34 30 33 30 30 30 30 30 30 5a 17 0d 32 37 30 34 30 33 30 30 30 30 30 30 5a 30 0f 31 0d 30 0b 06 03 55 04 03 0c 04 54 65 73 74 30 59 30 13 06 07 2a 86 48 ce 3d 02 01 06 08 2a 86 48 ce 3d 03 01 07 03 42 00 04 66 d4 73 2e f0 d4 25 c9 b9 3f c9 86 d7 d5 25 88 a7 3c 78 0e 8d 3a 5f 22 ba b8 87 1d 6b 91 3b fe d7 7f 25 b0 75 fb 6a 1d f9 5f a0 3c 21 fe 1f 5b 83 8d 98 d0 0c 6a a2 f0 e4 ec ce 25 fd 64 0b b2 30 0a 06 08 2a 86 48 ce 3d 04 03 02 03 48 00 30 45 02 21 00 80 81 30 6f ea 85 b4 f4 e8 54 cf c1 32 08 07 03 37 5a 8a 21 42 fd 45 be 82 61 2e
2026-04-08 20:30:20.332353+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 c0 00 00 2e
2026-04-08 20:30:20.332700+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 02 64 1c b1 fc c2 20 02 20 17 c2 c2 c7 9f 73 bc b8 78 4c f4 97 88 aa 1a 1b 4f 83 36 d0 f6 87 20 d5 a8 2d fb 1b 37 47 b8 d4 71 01 00 fe 00 90 00
2026-04-08 20:30:20.333552+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0a 00
2026-04-08 20:30:20.334054+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.334180+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0b 00
2026-04-08 20:30:20.334682+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.334832+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 01 00
2026-04-08 20:30:20.335413+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.335556+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 22 00
2026-04-08 20:30:20.336017+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.342940+0200 0x15a7a3b  Default     0x863ff5             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b a0 00 00 03 08 00 00 10 00 01 00
2026-04-08 20:30:20.343991+0200 0x15a7a3b  Default     0x863ff5             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 20:30:20.382984+0200 0x15a7a3b  Default     0x8650b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b a0 00 00 03 08 00 00 10 00 01 00
2026-04-08 20:30:20.384091+0200 0x15a7a3b  Default     0x8650b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 20:30:20.384274+0200 0x15a7a3b  Default     0x8650b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 00 00 05 5c 03 5f c1 02 00 00
2026-04-08 20:30:20.385095+0200 0x15a7a3b  Default     0x8650b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 53 3b 30 19 78 ee 9e fc 44 a9 38 99 8d 60 ea 5e 5c d3 76 ab 66 e3 3b 05 50 61 65 d2 e2 34 10 1b b6 a0 8c 01 f4 fe c4 4b 50 49 3e 56 4f 92 1c 35 08 32 30 33 30 30 31 30 31 3e 00 fe 00 90 00
